"dt_notific","n.notific"
2020-01-17,1
2020-01-18,1
2020-01-20,2
2020-01-31,1
2020-02-05,2
2020-02-06,1
2020-02-14,1
2020-02-18,1
2020-03-10,1
2020-03-11,1
2020-03-14,1
2020-03-16,2
2020-03-18,3
2020-03-19,3
2020-03-20,3
2020-03-21,2
2020-03-23,6
2020-03-24,4
2020-03-25,3
2020-03-26,3
2020-03-27,3
2020-03-28,1
2020-03-29,2
2020-03-30,5
2020-03-31,6
2020-04-01,2
2020-04-02,5
2020-04-03,2
2020-04-04,5
2020-04-05,2
2020-04-06,3
2020-04-07,4
2020-04-08,5
2020-04-09,6
2020-04-10,4
2020-04-11,2
2020-04-12,5
2020-04-13,5
2020-04-14,6
2020-04-15,10
2020-04-16,16
2020-04-17,16
2020-04-18,20
2020-04-19,9
2020-04-20,19
2020-04-21,9
2020-04-22,10
2020-04-23,8
2020-04-24,14
2020-04-25,3
2020-04-26,3
2020-04-27,10
2020-04-28,8
2020-04-29,7
2020-04-30,6
2020-05-01,5
2020-05-02,7
2020-05-03,2
