"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-18,1
2,2,2,2020-03-19,2
1,1,2,2020-03-20,1
1,1,2,2020-03-21,1
0,0,1,2020-03-22,NA
2,2,3,2020-03-23,2
0,0,1,2020-03-24,NA
1,1,2,2020-03-25,1
0,0,1,2020-03-26,NA
0,0,1,2020-03-27,NA
0,0,1,2020-03-28,NA
0,0,1,2020-03-29,NA
2,2,3,2020-03-30,2
0,0,1,2020-03-31,NA
1,1,2,2020-04-01,1
0,0,1,2020-04-02,NA
0,0,1,2020-04-03,NA
0,0,1.02499999999964,2020-04-04,NA
3,3,5,2020-04-05,3
1,1,3,2020-04-06,1
1,1,3,2020-04-07,1
0,0,2,2020-04-08,NA
1,1,3,2020-04-09,1
0,0,2,2020-04-10,NA
1,1,3,2020-04-11,1
1,1,3,2020-04-12,1
2,2,4,2020-04-13,2
0,0,2,2020-04-14,NA
0,0,2,2020-04-15,NA
1,1,3,2020-04-16,1
1,1,3,2020-04-17,1
1,1,3,2020-04-18,1
0,0,3,2020-04-19,NA
3,3,6,2020-04-20,3
1,0,4,2020-04-21,NA
1,0,4,2020-04-22,NA
2,1,5,2020-04-23,1
1,0,4,2020-04-24,NA
1,0,5,2020-04-25,NA
1,0,5,2020-04-26,NA
