"dt_evoluca","n.casos"
2020-01-02,1
2020-01-09,1
2020-01-17,1
2020-01-24,1
2020-01-30,1
2020-02-10,1
2020-03-02,1
2020-03-10,1
2020-03-11,2
2020-03-15,1
2020-03-19,4
2020-03-20,6
2020-03-21,6
2020-03-22,8
2020-03-23,5
2020-03-24,6
2020-03-25,5
2020-03-26,12
2020-03-27,5
2020-03-28,4
2020-03-29,4
2020-03-30,14
2020-03-31,10
2020-04-01,6
2020-04-02,1
2020-04-03,18
2020-04-04,19
2020-04-05,13
2020-04-06,16
2020-04-07,21
2020-04-08,15
2020-04-09,16
2020-04-10,26
2020-04-11,21
2020-04-12,36
2020-04-13,33
2020-04-14,30
2020-04-15,34
2020-04-16,36
2020-04-17,31
2020-04-18,30
2020-04-19,31
2020-04-20,29
2020-04-21,33
2020-04-22,31
2020-04-23,26
2020-04-24,31
2020-04-25,31
2020-04-26,26
2020-04-27,31
2020-04-28,17
2020-04-29,21
2020-04-30,9
2020-05-01,6
2020-05-02,3
2020-05-03,4
