"dt_notific","n.notific"
2020-03-05,3
2020-03-13,1
2020-03-15,1
2020-03-16,2
2020-03-17,1
2020-03-20,2
2020-03-21,1
2020-03-22,2
2020-03-23,5
2020-03-24,3
2020-03-25,7
2020-03-26,10
2020-03-27,11
2020-03-28,7
2020-03-29,10
2020-03-30,9
2020-03-31,12
2020-04-01,9
2020-04-02,16
2020-04-03,28
2020-04-04,23
2020-04-05,25
2020-04-06,37
2020-04-07,16
2020-04-08,50
2020-04-09,44
2020-04-10,21
2020-04-11,21
2020-04-12,22
2020-04-13,22
2020-04-14,42
2020-04-15,32
2020-04-16,44
2020-04-17,29
2020-04-18,21
2020-04-19,18
2020-04-20,33
2020-04-21,18
2020-04-22,24
2020-04-23,22
2020-04-24,20
2020-04-25,10
2020-04-26,12
2020-04-27,24
2020-04-28,9
2020-04-29,4
2020-04-30,2
2020-05-02,1
2020-05-03,1
