"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-24,NA
0,0,0,2020-03-25,NA
1,1,1,2020-03-26,NA
1,1,1,2020-03-27,NA
2,2,2,2020-03-28,NA
3,3,3,2020-03-29,1
1,1,1,2020-03-30,NA
2,2,2,2020-03-31,1
0,0,0,2020-04-01,1
0,0,0,2020-04-02,2
1,1,1,2020-04-03,3
1,1,1,2020-04-04,1
0,0,0,2020-04-05,2
0,0,0,2020-04-06,NA
1,1,1,2020-04-07,NA
1,1,2,2020-04-08,1
1,1,2,2020-04-09,1
4,4,5,2020-04-10,NA
0,0,1,2020-04-11,NA
1,1,2,2020-04-12,1
0,0,1,2020-04-13,1
0,0,1,2020-04-14,1
0,0,1,2020-04-15,4
0,0,1,2020-04-16,NA
2,2,3,2020-04-17,1
0,0,1,2020-04-18,NA
0,0,1,2020-04-19,NA
0,0,1,2020-04-20,NA
1,1,2,2020-04-21,NA
0,0,1,2020-04-22,2
0,0,1,2020-04-23,NA
0,0,1,2020-04-24,NA
0,0,1,2020-04-25,NA
0,0,1,2020-04-26,1
1,1,2,2020-04-27,NA
0,0,1,2020-04-28,NA
0,0,2,2020-04-29,NA
0,0,2,2020-04-30,NA
0,0,2,2020-05-01,NA
0,0,3,2020-05-02,1
