"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-24,1
0,0,0,2020-03-25,NA
0,0,0,2020-03-26,NA
1,1,1,2020-03-27,1
2,2,2,2020-03-28,2
3,3,3,2020-03-29,3
0,0,0,2020-03-30,NA
3,3,3,2020-03-31,3
2,2,2,2020-04-01,2
4,4,5,2020-04-02,4
9,9,11,2020-04-03,9
3,3,4,2020-04-04,3
3,3,4,2020-04-05,3
1,1,2,2020-04-06,1
2,2,3,2020-04-07,2
2,2,3,2020-04-08,2
3,3,5,2020-04-09,3
1,1,3,2020-04-10,1
2,2,4,2020-04-11,2
7,7,9,2020-04-12,7
2,2,4,2020-04-13,2
2,2,4,2020-04-14,2
5,5,7,2020-04-15,5
3,3,5,2020-04-16,3
5,5,8,2020-04-17,5
3,3,6,2020-04-18,3
2,2,5,2020-04-19,2
8,7,10,2020-04-20,7
1,0,3,2020-04-21,NA
7,6,10,2020-04-22,6
2,1,5,2020-04-23,1
1,0,3,2020-04-24,NA
4,3,7,2020-04-25,3
2,1,6,2020-04-26,1
4,3,8,2020-04-27,3
5,3,9,2020-04-28,3
2,0,6,2020-04-29,NA
2,0,7,2020-04-30,NA
2,0,8,2020-05-01,NA
4,1,10,2020-05-02,1
