"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-24,1
1,1,1,2020-03-25,1
1,1,1,2020-03-26,1
1,1,1,2020-03-27,1
1,1,1,2020-03-28,1
1,1,1,2020-03-29,1
1,1,1,2020-03-30,1
1,1,1,2020-03-31,1
0,0,0,2020-04-01,NA
1,1,1,2020-04-02,1
0,0,0,2020-04-03,NA
0,0,0,2020-04-04,NA
2,2,2,2020-04-05,2
0,0,1,2020-04-06,NA
5,5,6,2020-04-07,5
1,1,2,2020-04-08,1
1,1,2,2020-04-09,1
0,0,1,2020-04-10,NA
0,0,1,2020-04-11,NA
3,3,4,2020-04-12,3
0,0,1,2020-04-13,NA
1,1,2,2020-04-14,1
1,1,2,2020-04-15,1
1,1,2,2020-04-16,1
1,1,3,2020-04-17,1
3,3,5,2020-04-18,3
1,1,3,2020-04-19,1
1,1,3,2020-04-20,1
2,2,5,2020-04-21,2
5,5,8,2020-04-22,5
2,1,4,2020-04-23,1
2,1,5,2020-04-24,1
4,3,7,2020-04-25,3
2,1,6,2020-04-26,1
3,2,7,2020-04-27,2
3,2,7,2020-04-28,2
3,2,7,2020-04-29,2
2,1,6,2020-04-30,1
1,0,5,2020-05-01,NA
1,0,6,2020-05-02,NA
