"dt_notific","n.notific"
2020-01-08,1
2020-01-13,3
2020-01-19,1
2020-01-20,1
2020-01-22,1
2020-01-24,1
2020-01-27,4
2020-01-29,1
2020-01-30,2
2020-02-01,1
2020-02-04,1
2020-02-05,2
2020-02-06,2
2020-02-07,1
2020-02-09,1
2020-02-10,5
2020-02-11,3
2020-02-12,2
2020-02-13,2
2020-02-14,5
2020-02-15,3
2020-02-17,10
2020-02-18,3
2020-02-19,7
2020-02-20,9
2020-02-21,6
2020-02-22,5
2020-02-23,2
2020-02-24,20
2020-02-25,12
2020-02-26,12
2020-02-27,9
2020-02-28,20
2020-02-29,14
2020-03-01,1
2020-03-02,16
2020-03-03,9
2020-03-04,9
2020-03-05,10
2020-03-06,9
2020-03-07,6
2020-03-08,4
2020-03-09,16
2020-03-10,7
2020-03-11,9
2020-03-12,14
2020-03-13,22
2020-03-14,11
2020-03-15,11
2020-03-16,22
2020-03-17,21
2020-03-18,16
2020-03-19,17
2020-03-20,18
2020-03-21,21
2020-03-22,5
2020-03-23,16
2020-03-24,28
2020-03-25,23
2020-03-26,36
2020-03-27,13
2020-03-28,11
2020-03-29,11
2020-03-30,26
2020-03-31,44
2020-04-01,20
2020-04-02,14
2020-04-03,17
2020-04-04,6
2020-04-05,9
2020-04-06,24
2020-04-07,23
2020-04-08,21
2020-04-09,12
2020-04-10,5
2020-04-11,19
2020-04-12,12
2020-04-13,30
2020-04-14,31
2020-04-15,45
2020-04-16,23
2020-04-17,12
2020-04-18,3
2020-04-19,6
2020-04-20,8
2020-04-21,4
2020-04-22,29
2020-04-23,34
2020-04-24,29
2020-04-25,5
2020-04-26,5
2020-04-27,11
2020-04-28,12
2020-04-29,11
2020-04-30,14
2020-05-01,5
2020-05-02,5
2020-05-03,2
2020-05-04,6
