"estimate","lower","upper","onset_date","n.reported"
2,2,2,2020-03-24,NA
0,0,0,2020-03-25,NA
2,2,2,2020-03-26,NA
1,1,1,2020-03-27,NA
0,0,0,2020-03-28,NA
0,0,0,2020-03-29,NA
0,0,0,2020-03-30,NA
0,0,0,2020-03-31,NA
0,0,0,2020-04-01,2
3,3,4,2020-04-02,NA
1,1,2,2020-04-03,2
3,3,4,2020-04-04,1
1,1,2,2020-04-05,NA
2,2,3,2020-04-06,NA
0,0,1,2020-04-07,NA
4,4,5,2020-04-08,NA
3,3,4,2020-04-09,NA
4,4,5,2020-04-10,3
3,3,4,2020-04-11,1
1,1,2,2020-04-12,3
1,1,2,2020-04-13,1
3,3,4,2020-04-14,2
0,0,1,2020-04-15,NA
2,2,4,2020-04-16,4
3,3,5,2020-04-17,3
6,6,9,2020-04-18,4
5,5,8,2020-04-19,3
2,2,4,2020-04-20,1
1,1,2,2020-04-21,1
0,0,1,2020-04-22,3
0,0,1,2020-04-23,NA
0,0,1,2020-04-24,2
0,0,1,2020-04-25,3
0,0,1,2020-04-26,6
0,0,1,2020-04-27,5
0,0,1,2020-04-28,2
0,0,1,2020-04-29,1
0,0,1,2020-04-30,NA
0,0,2,2020-05-01,NA
0,0,2,2020-05-02,NA
