"dt_notific","n.notific"
2020-03-23,12
2020-03-24,1
2020-03-25,19
2020-03-26,28
2020-03-27,44
2020-03-30,44
2020-03-31,93
2020-04-01,63
2020-04-02,153
2020-04-03,133
2020-04-06,105
2020-04-07,216
2020-04-08,104
2020-04-09,131
2020-04-12,2
2020-04-13,134
2020-04-14,284
2020-04-15,155
2020-04-16,155
2020-04-17,112
2020-04-18,34
2020-04-19,24
2020-04-20,42
2020-04-21,32
2020-04-22,293
2020-04-23,214
2020-04-24,126
2020-04-25,2
2020-04-27,287
2020-04-28,219
2020-04-29,174
2020-04-30,156
2020-05-01,30
2020-05-02,44
2020-05-03,18
2020-05-04,377
2020-05-05,229
2020-05-06,200
2020-05-07,234
2020-05-08,145
