"estimate","lower","upper","onset_date","n.reported"
2,2,2,2020-03-24,NA
0,0,0,2020-03-25,NA
0,0,0,2020-03-26,NA
1,1,1,2020-03-27,NA
0,0,0,2020-03-28,2
1,1,1,2020-03-29,NA
0,0,0,2020-03-30,NA
0,0,0,2020-03-31,1
2,2,2,2020-04-01,NA
0,0,0,2020-04-02,1
2,2,2,2020-04-03,NA
2,2,2,2020-04-04,NA
3,3,3,2020-04-05,2
0,0,0,2020-04-06,NA
2,2,2,2020-04-07,2
1,1,1,2020-04-08,2
0,0,0,2020-04-09,3
3,3,4,2020-04-10,NA
1,1,2,2020-04-11,2
1,1,2,2020-04-12,1
0,0,1,2020-04-13,NA
1,1,2,2020-04-14,3
1,1,2,2020-04-15,1
1,1,3,2020-04-16,1
4,4,6,2020-04-17,NA
3,3,5,2020-04-18,1
1,1,3,2020-04-19,1
2,2,4,2020-04-20,1
3,3,5,2020-04-21,4
0,0,2,2020-04-22,3
2,2,4,2020-04-23,1
2,2,4,2020-04-24,2
2,2,4,2020-04-25,3
0,0,2,2020-04-26,NA
0,0,2,2020-04-27,2
0,0,3,2020-04-28,2
0,0,3,2020-04-29,2
0,0,3,2020-04-30,NA
0,0,3,2020-05-01,NA
1,0,4,2020-05-02,NA
