"dt_sin_pri","n.casos"
2020-01-07,3
2020-01-08,1
2020-01-12,1
2020-01-14,1
2020-01-17,1
2020-01-21,1
2020-01-25,1
2020-01-28,1
2020-01-29,3
2020-01-30,1
2020-01-31,1
2020-02-03,1
2020-02-04,1
2020-02-06,1
2020-02-10,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-26,1
2020-03-01,4
2020-03-03,2
2020-03-05,1
2020-03-06,1
2020-03-07,2
2020-03-08,7
2020-03-09,3
2020-03-10,4
2020-03-11,5
2020-03-12,7
2020-03-13,5
2020-03-14,9
2020-03-15,6
2020-03-16,11
2020-03-17,8
2020-03-18,10
2020-03-19,17
2020-03-20,16
2020-03-21,18
2020-03-22,11
2020-03-23,11
2020-03-24,12
2020-03-25,7
2020-03-26,7
2020-03-27,12
2020-03-28,9
2020-03-29,11
2020-03-30,8
2020-03-31,10
2020-04-01,21
2020-04-02,10
2020-04-03,10
2020-04-04,12
2020-04-05,7
2020-04-06,10
2020-04-07,10
2020-04-08,10
2020-04-09,13
2020-04-10,15
2020-04-11,12
2020-04-12,11
2020-04-13,13
2020-04-14,12
2020-04-15,15
2020-04-16,7
2020-04-17,5
2020-04-18,8
2020-04-19,16
2020-04-20,6
2020-04-21,17
2020-04-22,8
2020-04-23,10
2020-04-24,5
2020-04-25,5
2020-04-26,8
2020-04-27,7
2020-04-28,1
2020-04-29,4
2020-04-30,3
2020-05-01,1
2020-05-02,1
