"dt_notific","n.notific"
2020-01-09,1
2020-01-17,1
2020-01-24,2
2020-01-30,2
2020-02-03,4
2020-02-05,1
2020-02-07,1
2020-02-10,2
2020-02-11,2
2020-02-12,1
2020-02-14,1
2020-02-15,1
2020-02-17,3
2020-02-18,1
2020-02-19,2
2020-02-20,4
2020-02-21,2
2020-02-24,1
2020-02-25,1
2020-02-26,3
2020-02-27,3
2020-02-28,2
2020-02-29,1
2020-03-02,3
2020-03-03,2
2020-03-04,4
2020-03-05,4
2020-03-06,5
2020-03-09,7
2020-03-10,3
2020-03-11,3
2020-03-12,1
2020-03-13,4
2020-03-14,2
2020-03-15,3
2020-03-16,12
2020-03-17,8
2020-03-18,8
2020-03-19,7
2020-03-20,17
2020-03-21,14
2020-03-22,9
2020-03-23,21
2020-03-24,22
2020-03-25,20
2020-03-26,26
2020-03-27,16
2020-03-28,11
2020-03-29,9
2020-03-30,29
2020-03-31,21
2020-04-01,16
2020-04-02,16
2020-04-03,27
2020-04-04,10
2020-04-05,15
2020-04-06,28
2020-04-07,19
2020-04-08,13
2020-04-09,18
2020-04-10,14
2020-04-11,15
2020-04-12,14
2020-04-13,24
2020-04-14,17
2020-04-15,21
2020-04-16,25
2020-04-17,18
2020-04-18,13
2020-04-19,21
2020-04-20,23
2020-04-21,28
2020-04-22,28
2020-04-23,37
2020-04-24,34
2020-04-25,13
2020-04-26,32
2020-04-27,41
2020-04-28,54
2020-04-29,30
2020-04-30,32
2020-05-01,20
2020-05-02,10
2020-05-03,7
2020-05-04,2
