"dt_sin_pri","n.casos"
2019-12-30,1
2020-01-06,1
2020-01-14,1
2020-01-16,1
2020-01-18,1
2020-01-21,1
2020-01-28,2
2020-01-30,1
2020-01-31,1
2020-02-01,1
2020-02-03,1
2020-02-05,1
2020-02-08,1
2020-02-09,2
2020-02-10,3
2020-02-11,1
2020-02-12,3
2020-02-13,1
2020-02-14,3
2020-02-16,1
2020-02-17,1
2020-02-19,2
2020-02-20,3
2020-02-21,2
2020-02-22,1
2020-02-23,2
2020-02-24,3
2020-02-25,1
2020-02-26,3
2020-02-27,4
2020-02-29,2
2020-03-01,5
2020-03-02,4
2020-03-03,6
2020-03-04,5
2020-03-05,7
2020-03-06,5
2020-03-07,1
2020-03-08,3
2020-03-09,3
2020-03-10,10
2020-03-11,8
2020-03-12,6
2020-03-13,11
2020-03-14,11
2020-03-15,15
2020-03-16,17
2020-03-17,12
2020-03-18,16
2020-03-19,16
2020-03-20,22
2020-03-21,19
2020-03-22,21
2020-03-23,23
2020-03-24,25
2020-03-25,22
2020-03-26,13
2020-03-27,21
2020-03-28,14
2020-03-29,15
2020-03-30,23
2020-03-31,8
2020-04-01,24
2020-04-02,10
2020-04-03,14
2020-04-04,17
2020-04-05,20
2020-04-06,21
2020-04-07,14
2020-04-08,17
2020-04-09,21
2020-04-10,27
2020-04-11,17
2020-04-12,19
2020-04-13,27
2020-04-14,25
2020-04-15,21
2020-04-16,23
2020-04-17,21
2020-04-18,29
2020-04-19,23
2020-04-20,27
2020-04-21,26
2020-04-22,23
2020-04-23,31
2020-04-24,30
2020-04-25,23
2020-04-26,31
2020-04-27,19
2020-04-28,11
2020-04-29,8
2020-04-30,3
2020-05-01,6
2020-05-04,1
