"dt_notific","n.notific"
2019-12-31,1
2020-01-02,1
2020-01-04,1
2020-01-06,2
2020-01-07,3
2020-01-08,1
2020-01-09,1
2020-01-10,3
2020-01-11,1
2020-01-12,1
2020-01-13,1
2020-01-14,2
2020-01-15,1
2020-01-16,3
2020-01-18,1
2020-01-20,3
2020-01-21,1
2020-01-27,2
2020-01-28,1
2020-01-30,2
2020-02-01,2
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,4
2020-02-07,3
2020-02-08,1
2020-02-10,1
2020-02-11,2
2020-02-13,5
2020-02-14,3
2020-02-16,1
2020-02-17,4
2020-02-18,2
2020-02-20,1
2020-02-21,5
2020-02-22,1
2020-02-23,3
2020-02-24,1
2020-02-25,2
2020-02-26,3
2020-02-27,4
2020-02-28,9
2020-02-29,1
2020-03-01,2
2020-03-02,3
2020-03-03,9
2020-03-04,4
2020-03-05,5
2020-03-06,7
2020-03-07,1
2020-03-08,2
2020-03-09,4
2020-03-10,3
2020-03-11,7
2020-03-12,7
2020-03-13,7
2020-03-14,4
2020-03-15,6
2020-03-16,15
2020-03-17,16
2020-03-18,30
2020-03-19,30
2020-03-20,43
2020-03-21,27
2020-03-22,37
2020-03-23,59
2020-03-24,67
2020-03-25,70
2020-03-26,55
2020-03-27,61
2020-03-28,45
2020-03-29,39
2020-03-30,86
2020-03-31,53
2020-04-01,45
2020-04-02,44
2020-04-03,34
2020-04-04,30
2020-04-05,21
2020-04-06,61
2020-04-07,42
2020-04-08,45
2020-04-09,42
2020-04-10,36
2020-04-11,28
2020-04-12,20
2020-04-13,46
2020-04-14,53
2020-04-15,41
2020-04-16,44
2020-04-17,37
2020-04-18,26
2020-04-19,28
2020-04-20,46
2020-04-21,40
2020-04-22,45
2020-04-23,43
2020-04-24,37
2020-04-25,27
2020-04-26,27
2020-04-27,33
2020-04-28,36
2020-04-29,26
2020-04-30,28
2020-05-01,23
2020-05-02,25
2020-05-03,16
2020-05-04,4
