"dt_sin_pri","n.casos"
2019-12-29,3
2020-01-01,2
2020-01-02,1
2020-01-03,3
2020-01-05,2
2020-01-06,1
2020-01-07,1
2020-01-08,1
2020-01-10,3
2020-01-11,1
2020-01-12,1
2020-01-14,3
2020-01-15,2
2020-01-16,1
2020-01-17,1
2020-01-18,1
2020-01-21,1
2020-01-22,1
2020-01-23,2
2020-01-26,3
2020-01-27,1
2020-01-28,1
2020-01-30,1
2020-01-31,1
2020-02-01,2
2020-02-02,1
2020-02-03,1
2020-02-04,2
2020-02-05,3
2020-02-06,3
2020-02-08,4
2020-02-09,3
2020-02-10,2
2020-02-11,1
2020-02-12,3
2020-02-13,1
2020-02-14,2
2020-02-16,2
2020-02-17,2
2020-02-18,4
2020-02-19,1
2020-02-20,6
2020-02-22,5
2020-02-23,2
2020-02-24,3
2020-02-25,2
2020-02-26,7
2020-02-27,4
2020-02-28,8
2020-02-29,5
2020-03-01,7
2020-03-02,7
2020-03-03,5
2020-03-04,3
2020-03-05,5
2020-03-06,8
2020-03-07,9
2020-03-08,6
2020-03-09,13
2020-03-10,20
2020-03-11,9
2020-03-12,18
2020-03-13,23
2020-03-14,20
2020-03-15,39
2020-03-16,51
2020-03-17,46
2020-03-18,51
2020-03-19,45
2020-03-20,61
2020-03-21,50
2020-03-22,49
2020-03-23,57
2020-03-24,57
2020-03-25,52
2020-03-26,46
2020-03-27,52
2020-03-28,43
2020-03-29,38
2020-03-30,39
2020-03-31,36
2020-04-01,58
2020-04-02,35
2020-04-03,40
2020-04-04,27
2020-04-05,38
2020-04-06,37
2020-04-07,41
2020-04-08,36
2020-04-09,44
2020-04-10,48
2020-04-11,31
2020-04-12,34
2020-04-13,51
2020-04-14,29
2020-04-15,35
2020-04-16,30
2020-04-17,40
2020-04-18,32
2020-04-19,37
2020-04-20,33
2020-04-21,26
2020-04-22,29
2020-04-23,28
2020-04-24,27
2020-04-25,13
2020-04-26,29
2020-04-27,18
2020-04-28,23
2020-04-29,16
2020-04-30,12
2020-05-01,12
2020-05-02,4
2020-05-03,1
