"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-24,NA
0,0,0,2020-03-25,1
0,0,0,2020-03-26,NA
0,0,0,2020-03-27,NA
0,0,0,2020-03-28,NA
2,2,2,2020-03-29,NA
2,2,2,2020-03-30,2
0,0,0,2020-03-31,2
1,1,1,2020-04-01,NA
1,1,1,2020-04-02,1
4,4,4,2020-04-03,1
0,0,1,2020-04-04,4
1,1,2,2020-04-05,NA
2,2,4,2020-04-06,1
1,1,3,2020-04-07,2
1,1,3,2020-04-08,1
1,1,3,2020-04-09,1
4,4,7,2020-04-10,1
1,1,3,2020-04-11,4
0,0,3,2020-04-12,1
4,4,7,2020-04-13,NA
0,0,3,2020-04-14,4
0,0,3,2020-04-15,NA
2,2,5,2020-04-16,NA
2,2,5,2020-04-17,2
0,0,3,2020-04-18,2
0,0,3,2020-04-19,NA
5,4,8,2020-04-20,NA
2,1,5,2020-04-21,4
3,2,6,2020-04-22,1
1,1,4,2020-04-23,2
0,0,3,2020-04-24,1
0,0,3,2020-04-25,NA
0,0,3,2020-04-26,NA
2,1,5,2020-04-27,NA
3,2,6,2020-04-28,1
1,0,4,2020-04-29,2
1,0,3.02499999999964,2020-04-30,NA
1,0,4,2020-05-01,NA
1,0,4,2020-05-02,NA
