"dt_notific","n.notific"
2020-03-05,1
2020-03-13,1
2020-03-16,1
2020-03-18,5
2020-03-19,3
2020-03-20,5
2020-03-21,2
2020-03-22,4
2020-03-23,15
2020-03-24,11
2020-03-25,9
2020-03-26,12
2020-03-27,16
2020-03-28,7
2020-03-29,10
2020-03-30,26
2020-03-31,31
2020-04-01,26
2020-04-02,23
2020-04-03,22
2020-04-04,23
2020-04-05,14
2020-04-06,41
2020-04-07,35
2020-04-08,50
2020-04-09,27
2020-04-10,16
2020-04-11,21
2020-04-12,21
2020-04-13,53
2020-04-14,40
2020-04-15,38
2020-04-16,39
2020-04-17,43
2020-04-18,15
2020-04-19,19
2020-04-20,58
2020-04-21,13
2020-04-22,28
2020-04-23,14
2020-04-24,25
2020-04-25,4
2020-04-26,3
2020-04-27,9
2020-04-28,13
2020-04-29,8
2020-04-30,8
2020-05-01,1
2020-05-02,4
