"dt_notific","n.notific"
2020-01-03,1
2020-01-16,1
2020-01-22,2
2020-01-26,1
2020-01-28,1
2020-01-29,1
2020-01-31,1
2020-02-11,1
2020-02-18,1
2020-02-19,1
2020-02-23,1
2020-02-27,1
2020-02-28,1
2020-03-01,1
2020-03-05,2
2020-03-06,1
2020-03-07,1
2020-03-10,1
2020-03-13,2
2020-03-14,2
2020-03-16,5
2020-03-17,10
2020-03-18,13
2020-03-19,11
2020-03-20,19
2020-03-21,11
2020-03-22,11
2020-03-23,39
2020-03-24,25
2020-03-25,19
2020-03-26,22
2020-03-27,24
2020-03-28,15
2020-03-29,16
2020-03-30,51
2020-03-31,41
2020-04-01,44
2020-04-02,41
2020-04-03,34
2020-04-04,36
2020-04-05,26
2020-04-06,62
2020-04-07,63
2020-04-08,71
2020-04-09,45
2020-04-10,29
2020-04-11,38
2020-04-12,34
2020-04-13,80
2020-04-14,58
2020-04-15,63
2020-04-16,61
2020-04-17,78
2020-04-18,30
2020-04-19,34
2020-04-20,120
2020-04-21,34
2020-04-22,63
2020-04-23,36
2020-04-24,52
2020-04-25,23
2020-04-26,19
2020-04-27,47
2020-04-28,37
2020-04-29,41
2020-04-30,29
2020-05-01,7
2020-05-02,12
2020-05-03,3
2020-05-04,2
