"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-24,NA
0,0,0,2020-03-25,NA
0,0,0,2020-03-26,1
0,0,0,2020-03-27,NA
0,0,0,2020-03-28,NA
1,1,1,2020-03-29,NA
0,0,0,2020-03-30,NA
0,0,0,2020-03-31,1
1,1,1,2020-04-01,NA
1,1,1,2020-04-02,NA
2,2,2,2020-04-03,1
1,1,1,2020-04-04,1
1,1,1,2020-04-05,2
2,2,2,2020-04-06,1
0,0,0,2020-04-07,1
0,0,0,2020-04-08,2
3,3,3,2020-04-09,NA
1,1,1,2020-04-10,NA
0,0,1,2020-04-11,3
2,2,3,2020-04-12,1
1,1,2,2020-04-13,NA
1,1,2,2020-04-14,2
0,0,1,2020-04-15,1
2,2,3,2020-04-16,1
0,0,1,2020-04-17,NA
0,0,1,2020-04-18,2
1,1,2,2020-04-19,NA
2,2,3,2020-04-20,NA
1,1,2,2020-04-21,1
0,0,1,2020-04-22,2
1,1,2,2020-04-23,1
1,1,3,2020-04-24,NA
0,0,2,2020-04-25,1
1,1,3,2020-04-26,1
1,1,3,2020-04-27,NA
0,0,2,2020-04-28,1
0,0,2,2020-04-29,1
0,0,2,2020-04-30,NA
0,0,3,2020-05-01,NA
0,0,3,2020-05-02,NA
