"estimate","lower","upper","onset_date","n.reported"
30,30,30,2020-03-23,30
17,17,19,2020-03-24,17
29,29,31,2020-03-25,29
19,18,22,2020-03-26,18
25,23,29,2020-03-27,23
21,18,25,2020-03-28,18
28,25,33,2020-03-29,25
33,30,38,2020-03-30,29
22,18,27,2020-03-31,17
39,35,46,2020-04-01,33
33,27,40,2020-04-02,25
36,30,44,2020-04-03,27
36,30,45,2020-04-04,26
26,20,35,2020-04-05,15
37,30,46,2020-04-06,24
39,31,49,2020-04-07,24
36,28,47,2020-04-08,20
49,39,61,2020-04-09,29
51,41,64,2020-04-10,29
44,33,57,2020-04-11,19
58,46,73,2020-04-12,29
62,50,79,2020-04-13,31
50,37,65,2020-04-14,19
58,45,74,2020-04-15,26
44,31,61,2020-04-16,12
61,46,79,2020-04-17,23
62,46,82,2020-04-18,20
62,45,84,2020-04-19,15
91,70,118,2020-04-20,32
81,59,108,2020-04-21,19
90,67,122,2020-04-22,21
102,76,137,2020-04-23,26
81,56,114,2020-04-24,9
83,56,118,2020-04-25,8
98,68,141,2020-04-26,16
81,50,125,2020-04-27,3
84,50,134,2020-04-28,4
83,45,141,2020-04-29,1
85,44,152,2020-04-30,1
84,40,161,2020-05-01,NA
