"dt_sin_pri","n.casos"
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-04,2
2020-03-06,2
2020-03-07,2
2020-03-11,1
2020-03-12,3
2020-03-13,3
2020-03-15,2
2020-03-16,1
2020-03-18,6
2020-03-19,5
2020-03-20,20
2020-03-21,6
2020-03-22,6
2020-03-23,12
2020-03-24,18
2020-03-25,28
2020-03-26,23
2020-03-27,18
2020-03-28,25
2020-03-29,36
2020-03-30,19
2020-03-31,35
2020-04-01,56
2020-04-02,28
2020-04-03,44
2020-04-04,35
2020-04-05,26
2020-04-06,34
2020-04-07,35
2020-04-08,39
2020-04-09,30
2020-04-10,51
2020-04-11,20
2020-04-12,29
2020-04-13,14
2020-04-14,15
2020-04-15,18
2020-04-16,19
2020-04-17,12
2020-04-18,10
2020-04-19,7
2020-04-20,9
2020-04-21,2
2020-04-22,2
2020-04-24,1
2020-04-27,1
