"dt_notific","n.notific"
2020-01-03,4
2020-01-06,1
2020-01-07,2
2020-01-08,5
2020-01-09,2
2020-01-10,3
2020-01-11,2
2020-01-12,1
2020-01-13,2
2020-01-14,2
2020-01-15,2
2020-01-16,5
2020-01-17,5
2020-01-18,2
2020-01-19,2
2020-01-20,5
2020-01-21,5
2020-01-22,1
2020-01-23,1
2020-01-24,4
2020-01-25,1
2020-01-27,3
2020-01-28,7
2020-01-30,7
2020-01-31,4
2020-02-03,7
2020-02-04,2
2020-02-05,4
2020-02-06,6
2020-02-07,3
2020-02-08,4
2020-02-09,2
2020-02-10,4
2020-02-11,2
2020-02-12,7
2020-02-13,3
2020-02-14,5
2020-02-17,4
2020-02-18,7
2020-02-19,6
2020-02-20,2
2020-02-21,5
2020-02-22,4
2020-02-23,4
2020-02-24,8
2020-02-25,6
2020-02-26,3
2020-02-27,6
2020-02-28,7
2020-02-29,1
2020-03-01,3
2020-03-02,6
2020-03-03,4
2020-03-04,10
2020-03-05,1
2020-03-06,2
2020-03-07,3
2020-03-08,1
2020-03-09,4
2020-03-10,6
2020-03-11,11
2020-03-12,5
2020-03-13,5
2020-03-14,3
2020-03-15,2
2020-03-16,12
2020-03-17,8
2020-03-18,11
2020-03-19,9
2020-03-20,14
2020-03-21,6
2020-03-22,8
2020-03-23,11
2020-03-24,10
2020-03-25,10
2020-03-26,31
2020-03-27,33
2020-03-28,22
2020-03-29,16
2020-03-30,31
2020-03-31,46
2020-04-01,74
2020-04-02,62
2020-04-03,41
2020-04-04,41
2020-04-05,46
2020-04-06,79
2020-04-07,68
2020-04-08,56
2020-04-09,86
2020-04-10,90
2020-04-11,75
2020-04-12,96
2020-04-13,148
2020-04-14,136
2020-04-15,134
2020-04-16,112
2020-04-17,131
2020-04-18,88
2020-04-19,91
2020-04-20,109
2020-04-21,88
2020-04-22,117
2020-04-23,145
2020-04-24,124
2020-04-25,69
2020-04-26,57
2020-04-27,104
2020-04-28,93
2020-04-29,73
2020-04-30,62
2020-05-01,24
2020-05-02,24
2020-05-03,14
2020-05-04,5
