"dt_notific","n.notific"
2020-02-28,1
2020-03-01,1
2020-03-19,1
2020-03-20,1
2020-03-23,1
2020-03-25,5
2020-03-26,4
2020-03-27,2
2020-03-28,4
2020-03-29,3
2020-03-30,5
2020-03-31,8
2020-04-01,13
2020-04-02,13
2020-04-03,16
2020-04-04,14
2020-04-05,14
2020-04-06,13
2020-04-07,14
2020-04-08,13
2020-04-09,25
2020-04-10,28
2020-04-11,17
2020-04-12,26
2020-04-13,22
2020-04-14,25
2020-04-15,19
2020-04-16,14
2020-04-17,18
2020-04-18,16
2020-04-19,10
2020-04-20,25
2020-04-21,15
2020-04-22,9
2020-04-23,15
2020-04-24,9
2020-04-25,3
2020-04-26,2
2020-04-27,2
2020-04-29,3
2020-04-30,1
2020-05-01,1
2020-05-03,1
2020-05-04,1
