"dt_sin_pri","n.casos"
2019-12-29,1
2020-01-01,1
2020-01-02,1
2020-01-03,1
2020-01-04,1
2020-01-05,1
2020-01-06,2
2020-01-07,1
2020-01-09,5
2020-01-12,1
2020-01-14,2
2020-01-17,3
2020-01-19,1
2020-01-20,3
2020-01-21,6
2020-01-22,1
2020-01-23,2
2020-01-24,1
2020-01-25,1
2020-01-26,2
2020-01-28,1
2020-01-29,2
2020-01-30,1
2020-02-01,2
2020-02-02,1
2020-02-03,1
2020-02-04,3
2020-02-05,3
2020-02-06,2
2020-02-07,2
2020-02-08,2
2020-02-09,1
2020-02-12,1
2020-02-13,2
2020-02-14,3
2020-02-15,2
2020-02-16,3
2020-02-17,3
2020-02-18,2
2020-02-19,1
2020-02-20,1
2020-02-21,3
2020-02-22,2
2020-02-23,4
2020-02-24,5
2020-02-25,2
2020-02-26,5
2020-02-27,1
2020-02-28,5
2020-02-29,3
2020-03-01,5
2020-03-02,4
2020-03-03,2
2020-03-04,3
2020-03-05,2
2020-03-06,5
2020-03-07,4
2020-03-08,4
2020-03-09,9
2020-03-10,9
2020-03-11,12
2020-03-12,15
2020-03-13,16
2020-03-14,23
2020-03-15,27
2020-03-16,27
2020-03-17,25
2020-03-18,23
2020-03-19,32
2020-03-20,46
2020-03-21,36
2020-03-22,28
2020-03-23,28
2020-03-24,25
2020-03-25,30
2020-03-26,39
2020-03-27,19
2020-03-28,17
2020-03-29,28
2020-03-30,19
2020-03-31,24
2020-04-01,34
2020-04-02,32
2020-04-03,23
2020-04-04,26
2020-04-05,27
2020-04-06,25
2020-04-07,14
2020-04-08,19
2020-04-09,16
2020-04-10,21
2020-04-11,16
2020-04-12,16
2020-04-13,18
2020-04-14,21
2020-04-15,23
2020-04-16,17
2020-04-17,14
2020-04-18,13
2020-04-19,14
2020-04-20,24
2020-04-21,13
2020-04-22,12
2020-04-23,21
2020-04-24,19
2020-04-25,14
2020-04-26,10
2020-04-27,7
2020-04-28,8
2020-04-29,3
2020-04-30,3
2020-05-02,1
2020-05-03,1
