"dt_notific","n.notific"
2019-12-30,1
2020-01-04,1
2020-01-05,1
2020-01-07,1
2020-01-08,1
2020-01-10,3
2020-01-11,1
2020-01-12,1
2020-01-13,1
2020-01-14,2
2020-01-18,1
2020-01-20,2
2020-01-21,1
2020-01-22,4
2020-01-23,3
2020-01-24,1
2020-01-25,1
2020-01-26,2
2020-01-27,3
2020-01-28,1
2020-01-29,2
2020-01-31,3
2020-02-04,1
2020-02-05,1
2020-02-06,4
2020-02-09,2
2020-02-10,5
2020-02-11,4
2020-02-14,1
2020-02-17,3
2020-02-18,2
2020-02-19,1
2020-02-20,4
2020-02-21,2
2020-02-23,2
2020-02-25,2
2020-02-26,2
2020-02-27,8
2020-02-28,3
2020-02-29,1
2020-03-01,2
2020-03-02,3
2020-03-03,3
2020-03-04,5
2020-03-05,5
2020-03-06,3
2020-03-07,4
2020-03-08,3
2020-03-09,5
2020-03-10,4
2020-03-11,2
2020-03-12,5
2020-03-13,5
2020-03-14,5
2020-03-15,6
2020-03-16,21
2020-03-17,22
2020-03-18,16
2020-03-19,21
2020-03-20,26
2020-03-21,32
2020-03-22,20
2020-03-23,33
2020-03-24,40
2020-03-25,41
2020-03-26,21
2020-03-27,32
2020-03-28,24
2020-03-29,16
2020-03-30,41
2020-03-31,31
2020-04-01,26
2020-04-02,28
2020-04-03,34
2020-04-04,24
2020-04-05,17
2020-04-06,40
2020-04-07,23
2020-04-08,15
2020-04-09,23
2020-04-10,21
2020-04-11,15
2020-04-12,15
2020-04-13,24
2020-04-14,21
2020-04-15,23
2020-04-16,26
2020-04-17,28
2020-04-18,21
2020-04-19,7
2020-04-20,27
2020-04-21,18
2020-04-22,20
2020-04-23,10
2020-04-24,14
2020-04-25,20
2020-04-26,20
2020-04-27,17
2020-04-28,21
2020-04-29,20
2020-04-30,5
2020-05-01,2
2020-05-02,4
2020-05-03,6
