"dt_evoluca","n.casos"
2020-01-05,1
2020-01-11,1
2020-01-13,1
2020-01-18,2
2020-01-25,1
2020-01-27,1
2020-01-29,1
2020-01-30,1
2020-02-10,1
2020-02-19,1
2020-02-24,1
2020-02-26,1
2020-03-20,1
2020-03-21,3
2020-03-23,6
2020-03-24,7
2020-03-25,5
2020-03-26,4
2020-03-27,6
2020-03-28,3
2020-03-29,7
2020-03-30,7
2020-03-31,15
2020-04-01,4
2020-04-02,13
2020-04-03,11
2020-04-04,10
2020-04-05,15
2020-04-06,21
2020-04-07,14
2020-04-08,18
2020-04-09,15
2020-04-10,17
2020-04-11,19
2020-04-12,17
2020-04-13,26
2020-04-14,26
2020-04-15,22
2020-04-16,24
2020-04-17,29
2020-04-18,25
2020-04-19,22
2020-04-20,26
2020-04-21,33
2020-04-22,21
2020-04-23,20
2020-04-24,39
2020-04-25,38
2020-04-26,44
2020-04-27,29
2020-04-28,37
2020-04-29,42
2020-04-30,48
2020-05-01,40
2020-05-02,23
2020-05-03,31
2020-05-04,3
