"dt_notific","n.notific"
2020-01-03,3
2020-01-04,1
2020-01-05,1
2020-01-06,1
2020-01-07,3
2020-01-08,2
2020-01-09,2
2020-01-10,1
2020-01-11,1
2020-01-13,3
2020-01-14,4
2020-01-15,3
2020-01-16,1
2020-01-17,5
2020-01-18,1
2020-01-20,4
2020-01-21,1
2020-01-22,6
2020-01-23,5
2020-01-24,4
2020-01-25,2
2020-01-26,5
2020-01-27,5
2020-01-28,4
2020-01-29,4
2020-01-30,10
2020-01-31,4
2020-02-01,3
2020-02-03,1
2020-02-04,5
2020-02-05,5
2020-02-06,2
2020-02-07,5
2020-02-08,2
2020-02-09,2
2020-02-10,4
2020-02-11,5
2020-02-12,6
2020-02-13,5
2020-02-14,8
2020-02-15,1
2020-02-16,1
2020-02-17,17
2020-02-18,7
2020-02-19,7
2020-02-20,5
2020-02-21,5
2020-02-22,2
2020-02-23,1
2020-02-24,8
2020-02-25,2
2020-02-26,3
2020-02-27,13
2020-02-28,6
2020-02-29,4
2020-03-01,3
2020-03-02,11
2020-03-03,4
2020-03-04,8
2020-03-05,7
2020-03-06,6
2020-03-07,1
2020-03-08,2
2020-03-09,5
2020-03-10,8
2020-03-11,7
2020-03-12,7
2020-03-13,13
2020-03-14,11
2020-03-15,2
2020-03-16,17
2020-03-17,8
2020-03-18,7
2020-03-19,4
2020-03-20,27
2020-03-21,21
2020-03-22,26
2020-03-23,52
2020-03-24,55
2020-03-25,22
2020-03-26,52
2020-03-27,56
2020-03-28,30
2020-03-29,42
2020-03-30,81
2020-03-31,60
2020-04-01,76
2020-04-02,60
2020-04-03,53
2020-04-04,33
2020-04-05,25
2020-04-06,88
2020-04-07,92
2020-04-08,109
2020-04-09,105
2020-04-10,78
2020-04-11,58
2020-04-12,44
2020-04-13,145
2020-04-14,117
2020-04-15,128
2020-04-16,148
2020-04-17,144
2020-04-18,73
2020-04-19,68
2020-04-20,148
2020-04-21,89
2020-04-22,169
2020-04-23,129
2020-04-24,221
2020-04-25,97
2020-04-26,108
2020-04-27,271
2020-04-28,193
2020-04-29,225
2020-04-30,175
2020-05-01,197
2020-05-02,113
2020-05-03,96
2020-05-04,74
