"dt_sin_pri","n.casos"
2019-12-30,2
2019-12-31,3
2020-01-01,1
2020-01-02,4
2020-01-03,2
2020-01-05,2
2020-01-06,5
2020-01-07,2
2020-01-08,2
2020-01-09,1
2020-01-10,5
2020-01-11,4
2020-01-13,5
2020-01-14,2
2020-01-15,5
2020-01-16,7
2020-01-17,3
2020-01-18,3
2020-01-20,7
2020-01-21,3
2020-01-22,4
2020-01-23,5
2020-01-24,3
2020-01-25,4
2020-01-26,5
2020-01-27,6
2020-01-28,2
2020-01-29,3
2020-01-30,8
2020-01-31,4
2020-02-01,2
2020-02-02,5
2020-02-03,4
2020-02-04,4
2020-02-05,7
2020-02-06,4
2020-02-07,8
2020-02-08,4
2020-02-09,8
2020-02-10,8
2020-02-11,3
2020-02-12,7
2020-02-13,4
2020-02-14,6
2020-02-15,5
2020-02-16,7
2020-02-17,10
2020-02-18,6
2020-02-19,2
2020-02-20,8
2020-02-21,7
2020-02-22,2
2020-02-23,5
2020-02-24,7
2020-02-25,9
2020-02-26,2
2020-02-27,6
2020-02-28,4
2020-02-29,3
2020-03-01,6
2020-03-02,7
2020-03-03,5
2020-03-04,9
2020-03-05,10
2020-03-06,12
2020-03-07,12
2020-03-08,11
2020-03-09,9
2020-03-10,18
2020-03-11,15
2020-03-12,11
2020-03-13,18
2020-03-14,18
2020-03-15,23
2020-03-16,33
2020-03-17,30
2020-03-18,48
2020-03-19,55
2020-03-20,97
2020-03-21,64
2020-03-22,58
2020-03-23,80
2020-03-24,68
2020-03-25,78
2020-03-26,55
2020-03-27,63
2020-03-28,53
2020-03-29,61
2020-03-30,66
2020-03-31,60
2020-04-01,102
2020-04-02,72
2020-04-03,80
2020-04-04,67
2020-04-05,72
2020-04-06,99
2020-04-07,101
2020-04-08,94
2020-04-09,115
2020-04-10,148
2020-04-11,119
2020-04-12,127
2020-04-13,149
2020-04-14,113
2020-04-15,143
2020-04-16,117
2020-04-17,139
2020-04-18,163
2020-04-19,156
2020-04-20,195
2020-04-21,146
2020-04-22,129
2020-04-23,120
2020-04-24,127
2020-04-25,122
2020-04-26,88
2020-04-27,86
2020-04-28,81
2020-04-29,48
2020-04-30,37
2020-05-01,27
2020-05-02,16
2020-05-03,5
