"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-24,1
0,0,0,2020-03-25,NA
1,1,1,2020-03-26,1
0,0,0,2020-03-27,NA
1,1,1,2020-03-28,1
0,0,0,2020-03-29,NA
1,1,1,2020-03-30,1
0,0,0,2020-03-31,NA
1,1,1,2020-04-01,1
1,1,1,2020-04-02,1
0,0,0,2020-04-03,NA
1,1,1,2020-04-04,1
0,0,0,2020-04-05,NA
1,1,1,2020-04-06,1
1,1,1,2020-04-07,1
2,2,2,2020-04-08,2
3,3,3,2020-04-09,3
2,2,2,2020-04-10,2
1,1,1,2020-04-11,1
1,1,1,2020-04-12,1
2,2,3,2020-04-13,2
0,0,1,2020-04-14,NA
2,2,3,2020-04-15,2
2,2,3,2020-04-16,2
0,0,1,2020-04-17,NA
1,1,2,2020-04-18,1
2,2,3,2020-04-19,2
0,0,1,2020-04-20,NA
1,1,2,2020-04-21,1
3,3,4,2020-04-22,3
2,2,3,2020-04-23,2
2,2,4,2020-04-24,2
2,2,4,2020-04-25,2
8,8,10,2020-04-26,8
2,2,4,2020-04-27,2
3,3,5,2020-04-28,3
3,3,5,2020-04-29,3
5,4,7,2020-04-30,4
3,2,6,2020-05-01,2
4,2,9,2020-05-02,2
