"dt_sin_pri","n.casos"
2020-02-21,2
2020-03-05,2
2020-03-08,2
2020-03-10,1
2020-03-11,3
2020-03-12,2
2020-03-13,2
2020-03-14,6
2020-03-15,11
2020-03-16,12
2020-03-17,10
2020-03-18,9
2020-03-19,6
2020-03-20,12
2020-03-21,9
2020-03-22,7
2020-03-23,8
2020-03-24,11
2020-03-25,16
2020-03-26,21
2020-03-27,14
2020-03-28,9
2020-03-29,11
2020-03-30,10
2020-03-31,8
2020-04-01,16
2020-04-02,6
2020-04-03,7
2020-04-04,7
2020-04-05,5
2020-04-06,9
2020-04-07,6
2020-04-08,9
2020-04-09,11
2020-04-10,19
2020-04-11,16
2020-04-12,13
2020-04-13,9
2020-04-14,13
2020-04-15,23
2020-04-16,24
2020-04-17,20
2020-04-18,18
2020-04-19,19
2020-04-20,30
2020-04-21,22
2020-04-22,18
2020-04-23,23
2020-04-24,12
2020-04-25,18
2020-04-26,15
2020-04-27,7
2020-04-28,5
2020-04-29,2
2020-04-30,2
2020-05-01,2
