"dt_notific","n.notific"
2019-12-31,1
2020-01-02,6
2020-01-03,1
2020-01-04,1
2020-01-06,5
2020-01-07,2
2020-01-08,6
2020-01-09,3
2020-01-10,1
2020-01-11,1
2020-01-13,5
2020-01-14,9
2020-01-15,1
2020-01-16,7
2020-01-17,2
2020-01-18,1
2020-01-20,3
2020-01-21,6
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-27,8
2020-01-28,5
2020-01-29,2
2020-01-30,1
2020-01-31,3
2020-02-01,2
2020-02-03,6
2020-02-04,4
2020-02-05,4
2020-02-06,2
2020-02-07,5
2020-02-09,1
2020-02-10,1
2020-02-11,5
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,2
2020-02-16,1
2020-02-17,8
2020-02-18,6
2020-02-19,3
2020-02-20,1
2020-02-21,7
2020-02-23,1
2020-02-24,5
2020-02-26,7
2020-02-27,2
2020-02-28,4
2020-02-29,3
2020-03-02,6
2020-03-03,4
2020-03-04,7
2020-03-05,10
2020-03-06,19
2020-03-08,1
2020-03-09,14
2020-03-10,15
2020-03-11,5
2020-03-12,4
2020-03-13,12
2020-03-14,1
2020-03-15,2
2020-03-16,14
2020-03-17,16
2020-03-18,16
2020-03-19,11
2020-03-20,16
2020-03-21,18
2020-03-22,39
2020-03-23,102
2020-03-24,87
2020-03-25,96
2020-03-26,99
2020-03-27,87
2020-03-28,56
2020-03-29,71
2020-03-30,117
2020-03-31,95
2020-04-01,74
2020-04-02,110
2020-04-03,64
2020-04-04,55
2020-04-05,39
2020-04-06,112
2020-04-07,84
2020-04-08,75
2020-04-09,81
2020-04-10,44
2020-04-11,49
2020-04-12,47
2020-04-13,164
2020-04-14,82
2020-04-15,53
2020-04-16,72
2020-04-17,68
2020-04-18,51
2020-04-19,49
2020-04-20,116
2020-04-21,46
2020-04-22,139
2020-04-23,120
2020-04-24,97
2020-04-25,64
2020-04-26,63
2020-04-27,175
2020-04-28,132
2020-04-29,120
2020-04-30,80
2020-05-01,40
2020-05-02,28
2020-05-03,36
2020-05-04,28
