"dt_sin_pri","n.casos"
2019-12-29,4
2019-12-30,5
2019-12-31,3
2020-01-01,2
2020-01-02,4
2020-01-03,3
2020-01-04,5
2020-01-05,2
2020-01-06,6
2020-01-07,6
2020-01-08,2
2020-01-09,1
2020-01-10,4
2020-01-11,5
2020-01-12,1
2020-01-13,2
2020-01-14,2
2020-01-15,1
2020-01-16,1
2020-01-17,3
2020-01-18,2
2020-01-19,5
2020-01-20,2
2020-01-21,4
2020-01-22,1
2020-01-24,3
2020-01-25,5
2020-01-26,1
2020-01-27,3
2020-01-28,2
2020-01-29,5
2020-01-30,2
2020-01-31,3
2020-02-01,4
2020-02-02,3
2020-02-03,3
2020-02-04,4
2020-02-05,2
2020-02-06,1
2020-02-07,3
2020-02-08,2
2020-02-09,1
2020-02-10,5
2020-02-12,4
2020-02-13,5
2020-02-14,2
2020-02-15,6
2020-02-16,2
2020-02-17,5
2020-02-18,1
2020-02-19,5
2020-02-20,9
2020-02-21,9
2020-02-22,4
2020-02-23,2
2020-02-24,7
2020-02-25,2
2020-02-26,4
2020-02-27,4
2020-02-28,4
2020-02-29,3
2020-03-01,9
2020-03-02,12
2020-03-03,6
2020-03-04,7
2020-03-05,13
2020-03-06,7
2020-03-07,7
2020-03-08,8
2020-03-09,8
2020-03-10,16
2020-03-11,12
2020-03-12,11
2020-03-13,18
2020-03-14,19
2020-03-15,39
2020-03-16,37
2020-03-17,52
2020-03-18,59
2020-03-19,58
2020-03-20,97
2020-03-21,52
2020-03-22,74
2020-03-23,90
2020-03-24,89
2020-03-25,91
2020-03-26,86
2020-03-27,91
2020-03-28,87
2020-03-29,56
2020-03-30,98
2020-03-31,57
2020-04-01,89
2020-04-02,56
2020-04-03,80
2020-04-04,80
2020-04-05,81
2020-04-06,76
2020-04-07,61
2020-04-08,70
2020-04-09,88
2020-04-10,83
2020-04-11,66
2020-04-12,80
2020-04-13,75
2020-04-14,79
2020-04-15,89
2020-04-16,78
2020-04-17,97
2020-04-18,89
2020-04-19,72
2020-04-20,127
2020-04-21,71
2020-04-22,92
2020-04-23,92
2020-04-24,82
2020-04-25,75
2020-04-26,65
2020-04-27,79
2020-04-28,52
2020-04-29,19
2020-04-30,21
2020-05-01,16
2020-05-02,7
2020-05-03,5
