"dt_notific","n.notific"
2020-01-03,1
2020-01-06,3
2020-01-07,1
2020-01-08,1
2020-01-11,1
2020-01-15,1
2020-01-24,1
2020-01-26,1
2020-01-27,3
2020-01-28,2
2020-01-29,2
2020-01-30,1
2020-01-31,1
2020-02-03,2
2020-02-05,1
2020-02-07,1
2020-02-13,1
2020-02-16,1
2020-02-17,2
2020-02-18,1
2020-02-19,1
2020-02-21,2
2020-02-22,1
2020-02-24,2
2020-02-26,1
2020-02-27,1
2020-03-02,2
2020-03-03,1
2020-03-04,1
2020-03-05,2
2020-03-09,4
2020-03-10,2
2020-03-11,1
2020-03-12,3
2020-03-14,1
2020-03-15,2
2020-03-16,2
2020-03-17,3
2020-03-18,5
2020-03-19,6
2020-03-20,5
2020-03-21,9
2020-03-22,17
2020-03-23,31
2020-03-24,23
2020-03-25,14
2020-03-26,22
2020-03-27,19
2020-03-28,22
2020-03-29,18
2020-03-30,31
2020-03-31,27
2020-04-01,21
2020-04-02,19
2020-04-03,26
2020-04-04,15
2020-04-05,16
2020-04-06,29
2020-04-07,17
2020-04-08,30
2020-04-09,19
2020-04-10,12
2020-04-11,12
2020-04-12,13
2020-04-13,27
2020-04-14,24
2020-04-15,22
2020-04-16,25
2020-04-17,17
2020-04-18,14
2020-04-19,14
2020-04-20,19
2020-04-21,13
2020-04-22,16
2020-04-23,8
2020-04-24,17
2020-04-25,8
2020-04-26,10
2020-04-27,14
2020-04-28,14
2020-04-29,8
2020-04-30,2
2020-05-01,3
2020-05-03,2
