"dt_sin_pri","n.casos"
2020-03-01,1
2020-03-03,1
2020-03-05,2
2020-03-06,1
2020-03-07,2
2020-03-09,3
2020-03-11,1
2020-03-13,1
2020-03-14,3
2020-03-15,5
2020-03-16,14
2020-03-17,7
2020-03-18,16
2020-03-19,10
2020-03-20,24
2020-03-21,12
2020-03-22,10
2020-03-23,19
2020-03-24,12
2020-03-25,13
2020-03-26,18
2020-03-27,9
2020-03-28,14
2020-03-29,12
2020-03-30,7
2020-03-31,12
2020-04-01,11
2020-04-02,12
2020-04-03,13
2020-04-04,11
2020-04-05,10
2020-04-06,12
2020-04-07,9
2020-04-08,2
2020-04-09,11
2020-04-10,7
2020-04-11,8
2020-04-12,10
2020-04-13,9
2020-04-14,13
2020-04-15,11
2020-04-16,5
2020-04-17,7
2020-04-18,6
2020-04-19,3
2020-04-20,8
2020-04-21,12
2020-04-22,7
2020-04-23,4
2020-04-24,2
2020-04-25,4
2020-04-26,2
2020-04-29,1
