"dt_notific","n.notific"
2019-12-31,1
2020-01-01,1
2020-01-02,2
2020-01-03,1
2020-01-05,1
2020-01-06,1
2020-01-08,2
2020-01-09,1
2020-01-10,1
2020-01-13,2
2020-01-14,2
2020-01-15,2
2020-01-23,1
2020-01-24,1
2020-01-25,2
2020-01-27,2
2020-01-28,3
2020-01-29,1
2020-01-30,3
2020-02-01,1
2020-02-04,1
2020-02-05,2
2020-02-11,1
2020-02-12,1
2020-02-15,1
2020-02-17,2
2020-02-18,4
2020-02-22,1
2020-02-25,1
2020-02-26,4
2020-02-27,3
2020-03-03,2
2020-03-04,4
2020-03-05,2
2020-03-06,1
2020-03-09,1
2020-03-10,3
2020-03-11,3
2020-03-12,1
2020-03-13,4
2020-03-14,1
2020-03-15,1
2020-03-16,2
2020-03-17,2
2020-03-18,7
2020-03-19,7
2020-03-20,9
2020-03-21,8
2020-03-22,12
2020-03-23,15
2020-03-24,19
2020-03-25,17
2020-03-26,12
2020-03-27,13
2020-03-28,10
2020-03-29,8
2020-03-30,20
2020-03-31,23
2020-04-01,17
2020-04-02,16
2020-04-03,20
2020-04-04,11
2020-04-05,10
2020-04-06,24
2020-04-07,17
2020-04-08,16
2020-04-09,13
2020-04-10,6
2020-04-11,16
2020-04-12,9
2020-04-13,18
2020-04-14,16
2020-04-15,14
2020-04-16,9
2020-04-17,15
2020-04-18,10
2020-04-19,6
2020-04-20,16
2020-04-21,12
2020-04-22,14
2020-04-23,14
2020-04-24,20
2020-04-25,5
2020-04-26,7
2020-04-27,11
2020-04-28,5
2020-04-29,3
2020-04-30,4
2020-05-01,1
2020-05-03,1
2020-05-04,3
