"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-24,NA
0,0,0,2020-03-25,1
1,1,1,2020-03-26,NA
0,0,0,2020-03-27,1
0,0,0,2020-03-28,NA
1,1,1,2020-03-29,NA
1,1,1,2020-03-30,1
0,0,0,2020-03-31,1
0,0,0,2020-04-01,NA
2,2,2,2020-04-02,NA
3,3,3,2020-04-03,2
2,2,2,2020-04-04,3
5,5,5,2020-04-05,2
4,4,5,2020-04-06,5
7,7,8,2020-04-07,4
1,1,2,2020-04-08,7
2,2,3,2020-04-09,1
2,2,3,2020-04-10,2
1,1,2,2020-04-11,2
4,4,5,2020-04-12,1
2,2,3,2020-04-13,4
1,1,2,2020-04-14,2
0,0,1,2020-04-15,1
3,3,4,2020-04-16,NA
5,5,7,2020-04-17,3
3,3,5,2020-04-18,5
4,4,6,2020-04-19,3
3,3,6,2020-04-20,4
1,1,4,2020-04-21,3
3,2,5,2020-04-22,1
6,5,9,2020-04-23,2
4,3,7,2020-04-24,5
3,2,7,2020-04-25,3
3,2,7,2020-04-26,2
8,6,12,2020-04-27,2
7,5,11,2020-04-28,6
1,0,5,2020-04-29,5
1,0,5,2020-04-30,NA
3,1,7,2020-05-01,NA
2,0,8,2020-05-02,1
