"dt_notific","n.notific"
2020-03-15,1
2020-03-16,2
2020-03-17,1
2020-03-19,1
2020-03-21,1
2020-03-22,1
2020-03-23,3
2020-03-24,2
2020-03-25,5
2020-03-26,1
2020-03-27,3
2020-03-29,1
2020-03-30,8
2020-03-31,4
2020-04-01,4
2020-04-02,4
2020-04-03,4
2020-04-04,5
2020-04-05,4
2020-04-06,3
2020-04-07,4
2020-04-08,4
2020-04-09,3
2020-04-10,11
2020-04-11,6
2020-04-12,5
2020-04-13,13
2020-04-14,8
2020-04-15,11
2020-04-16,13
2020-04-17,18
2020-04-18,5
2020-04-19,6
2020-04-20,14
2020-04-21,12
2020-04-22,15
2020-04-23,11
2020-04-24,17
2020-04-25,6
2020-04-26,5
2020-04-27,4
2020-04-28,4
2020-04-29,3
2020-04-30,20
2020-05-01,3
2020-05-03,1
2020-05-04,8
