"dt_notific","n.notific"
2020-03-19,1
2020-03-23,1
2020-03-24,1
2020-03-25,3
2020-03-29,1
2020-03-30,2
2020-03-31,2
2020-04-01,1
2020-04-02,1
2020-04-03,1
2020-04-04,2
2020-04-05,1
2020-04-06,2
2020-04-07,2
2020-04-08,3
2020-04-09,1
2020-04-10,1
2020-04-11,2
2020-04-13,3
2020-04-14,1
2020-04-15,5
2020-04-16,5
2020-04-17,1
2020-04-18,2
2020-04-19,2
2020-04-20,3
2020-04-21,3
2020-04-22,3
2020-04-23,5
2020-04-24,13
2020-04-25,3
2020-04-26,2
2020-04-27,2
2020-04-28,3
2020-04-29,2
2020-04-30,12
2020-05-03,1
