"dt_notific","n.notific"
2020-01-02,1
2020-01-03,1
2020-01-05,3
2020-01-06,2
2020-01-07,2
2020-01-08,3
2020-01-09,1
2020-01-10,3
2020-01-13,2
2020-01-14,2
2020-01-15,5
2020-01-16,5
2020-01-17,6
2020-01-19,2
2020-01-20,3
2020-01-21,1
2020-01-22,2
2020-01-23,1
2020-01-24,1
2020-01-25,1
2020-01-26,3
2020-01-27,5
2020-01-28,2
2020-01-29,2
2020-01-30,2
2020-01-31,2
2020-02-03,6
2020-02-04,2
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-09,2
2020-02-10,8
2020-02-11,6
2020-02-12,3
2020-02-13,2
2020-02-14,1
2020-02-16,1
2020-02-17,8
2020-02-18,6
2020-02-19,2
2020-02-20,6
2020-02-21,3
2020-02-24,1
2020-02-25,1
2020-02-26,10
2020-02-27,15
2020-02-28,12
2020-02-29,3
2020-03-01,7
2020-03-02,12
2020-03-03,4
2020-03-04,5
2020-03-05,12
2020-03-06,12
2020-03-07,4
2020-03-08,1
2020-03-09,11
2020-03-10,7
2020-03-11,11
2020-03-12,15
2020-03-13,17
2020-03-14,13
2020-03-15,7
2020-03-16,42
2020-03-17,26
2020-03-18,24
2020-03-19,31
2020-03-20,23
2020-03-21,13
2020-03-22,20
2020-03-23,34
2020-03-24,31
2020-03-25,38
2020-03-26,25
2020-03-27,36
2020-03-28,17
2020-03-29,30
2020-03-30,72
2020-03-31,27
2020-04-01,39
2020-04-02,48
2020-04-03,42
2020-04-04,22
2020-04-05,38
2020-04-06,41
2020-04-07,36
2020-04-08,37
2020-04-09,38
2020-04-10,34
2020-04-11,42
2020-04-12,31
2020-04-13,50
2020-04-14,45
2020-04-15,50
2020-04-16,69
2020-04-17,57
2020-04-18,32
2020-04-19,30
2020-04-20,73
2020-04-21,41
2020-04-22,73
2020-04-23,52
2020-04-24,61
2020-04-25,45
2020-04-26,27
2020-04-27,55
2020-04-28,64
2020-04-29,39
2020-04-30,65
2020-05-01,29
2020-05-02,19
2020-05-03,25
2020-05-04,16
